BossId,BossType,Name,Photo,Image,Class,LevelShow,Level,Stars,LiveTime,PreBoss,NFTEquips,NFTEquipsLevel,EnergyCost,BaseHP,BaseAtk,BaseAtkGap,HPAddRate,ATKAddRate,ATKSpeedAddRate,CriRate,CriDmgRate,HitRate,DodgeRate,DmgAddRate,DmgReduceRate,AtkBuffRate,DefenseBuffRate,WinDmgRate,FirstWinAwards,Awards,FinderAwards,KillerAwards,DmgAwards,DmgAwardsCOE1,DmgAwardsCOE2,ManaAwards,BuffCardRandPool
int,int,string,string,string,int,string,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,int,int,string,int
BossId,Boss类型0讨伐1NFT,Boss名字,Boss图片地址,Boss图片,系列,展示等级,等级,星级,存活时间秒,前置boss,挑战需要装备的NFT武器(id1;id2;id3),挑战需要装备的NFT武器总等级,体力消耗,基础HP,基础攻击,基础攻击间隔秒,HP加成比例(万分位),攻击加成比例(万分位),攻击速度加成比例(万分位),暴击率(万分位),暴击伤害(万分位),命中率(万分位),闪避率(万分位),增害比例(万分位),减伤比例(万分位),攻击buff(万分位),减伤buff(万分位),胜利伤害比例(万分位),首通奖励列表(格式 物品id1:数量;物品id2:数量2 例如 1:80;2:100),奖励列表(格式 物品id1:数量下限1|数量上限1;物品id2:数量下限2|数量上限2 例如 1:80|100;2:80|100),发现者奖励列表(格式 物品id1:数量1;物品id2:数量2 例如 1:80;2:80),击杀者奖励列表(格式 物品id1:数量1;物品id2:数量2 例如 1:80;2:80),参与者奖励列表(格式 物品id1:数量1;物品id2:数量2 例如 1:80;2:80),参与者奖励计算参数1(万分位),参与者奖励计算参数2(万分位),玛娜结晶奖励其中一部分会进入PVP奖池(格式 总数量:进入PVP奖池的数量),buff卡随机池
10001,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,1-1,4,4,,,,,10,500,50,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:70,10:24|27,,,,,,,1
10002,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,1-2,7,7,,10001,,,10,560,56,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:83,10:27|30,,,,,,,
10003,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,1-3,10,10,,10002,,,10,630,63,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:98,10:30|34,,,,,,,
10004,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,2-1,14,14,,10003,,,10,710,71,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:116,10:34|39,,,,,,,
10005,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,2-2,17,17,,10004,,,10,790,79,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:138,10:39|44,,,,,,,
10006,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,2-3,20,20,,10005,,,10,890,89,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:162,10:44|49,,,,,,,
10007,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,3-1,24,24,,10006,,,10,1000,100,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:188,10:49|56,,,,,,,
10008,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,3-2,27,27,,10007,,,10,1120,112,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:223,10:56|63,,,,,,,
10009,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,3-3,30,30,,10008,,,10,1260,126,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:261,10:63|71,,,,,,,
10010,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,4-1,34,34,,10009,,,10,1410,141,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:301,10:71|81,,,,,,,
10011,0,BOSS_NAME_10001,https://mirror-realms.io/mor_boss/mimir1.jpg,1001,0,4-2,37,37,,10010,,,10,1580,158,9,0,0,0,1000,10000,8000,0,0,0,0,0,8000,10:356,10:81|91,,,,,,,
